"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11940","11. Logout","firefox","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","4155","12.Verify Create Login Details toggle","firefox","2026-06-01","passed","2026-06-01","PIM Module Tests","PIM\pim.spec.js","",""
"","522","8.Verify Employee Timesheet navigation","webkit","2026-06-01","passed","2026-06-01","Time Module Tests","Time\time.spec.js","",""
"","13","2.Verify Candidates tab visible","firefox","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","364","11.Verify Status dropdown clickable","webkit","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","45","12.Verify Sub Unit dropdown clickable","chromium","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","12156","7. Verify Directory menu visible","chromium","2026-06-01","passed","2026-06-01","Dashboard Module Tests","Dashboard\dashboard.spec.js","",""
"","445","8.Verify Status dropdown selectable","firefox","2026-06-01","passed","2026-06-01","Performance Module Tests","Performance\performance.spec.js","",""
"","25223","3. Invalid password","chromium","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","13700","9.Verify Marital Status dropdown selectable","firefox","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","825","14.Verify Cancel button returns to KPI page","webkit","2026-06-01","passed","2026-06-01","Performance Module Tests","Performance\performance.spec.js","",""
"","11933","15.Username field accepts input","chromium","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","15124","9. Verify Recruitment navigation","chromium","2026-06-01","passed","2026-06-01","Dashboard Module Tests","Dashboard\dashboard.spec.js","",""
"","1319","6.Verify page refresh keeps session","chromium","2026-06-01","passed","2026-06-01","PIM Module Tests","PIM\pim.spec.js","",""
"","15500","15.Verify page refresh keeps session","firefox","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","1896","4.Verify Add Employee navigation","webkit","2026-06-01","passed","2026-06-01","PIM Module Tests","PIM\pim.spec.js","",""
"","20576","4.Filter by Status","webkit","2026-06-01","passed","2026-06-01","Admin Functional Tests","Admin\admin.spec.js","",""
"","1257","10.Verify Employee Name accepts input","firefox","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","2722","16.Verify Email accepts input","webkit","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","58","7.Verify Employee Name field remains editable","firefox","2026-06-01","passed","2026-06-01","Performance Module Tests","Performance\performance.spec.js","",""
"","1005","12.Verify KPI mandatory validation","firefox","2026-06-01","passed","2026-06-01","Performance Module Tests","Performance\performance.spec.js","",""
"","64","9.Verify Status dropdown opens","chromium","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","10969","16.Verify Dependents page opens","chromium","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","1021","15.Verify Project Name input accepts value","firefox","2026-06-01","passed","2026-06-01","Time Module Tests","Time\time.spec.js","",""
"","10462","1. Valid login","firefox","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","372","1.Verify Recruitment page opens","webkit","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","4408","16.Verify Email accepts input","firefox","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","948","7.Verify Hiring Manager accepts input","firefox","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","27225","2. Invalid username","chromium","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","977","1.Verify Recruitment page opens","firefox","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","2940","9.Verify First Name accepts input","webkit","2026-06-01","passed","2026-06-01","PIM Module Tests","PIM\pim.spec.js","",""
