"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13194","11. Logout","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","5","3.Verify employee name input visible","firefox","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","25001","10.Verify recruitment menu visible","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","4162","6. Empty fields","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","73","8.Verify records found text visible","webkit","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","17344","13.Verify search box visible","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","18307","15.Verify refresh keeps session","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","16314","3.Verify user dropdown visible","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","14","4.Verify Reports tab visible","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","8261","15.Verify page refresh keeps session","webkit","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","7","3.Verify Leave List tab visible","webkit","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","5420","16.Password field accepts input","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","20565","12.Verify dashboard menu visible","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","9","16.Verify search button enabled","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","17752","8.Verify Directory menu visible","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","67","12.Verify reset button visible after click","chromium","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","26060","8.Verify Directory menu visible","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","6","7.Verify employee list table visible","firefox","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","17530","10.Verify recruitment menu visible","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","24717","15.Verify refresh keeps session","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","5","2.Verify Add employee button visible","chromium","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","15355","2.Verify sidebar visible","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","5035","17.Password field masked","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","3","8.Verify to date field visible","chromium","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","4638","17.Password field masked","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","4","7.Verify from date field visible","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","78","15.Verify reset button functionality","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","37","3.Verify employee name input visible","webkit","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","13981","18.Verify search accepts input","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","12","2.Verify Add employee button visible","firefox","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","16","2.Verify Apply button visible","webkit","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","6","3.Verify Leave List tab visible","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","27056","11.Verify Recruitment navigation","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","4687","8. Forgot password visible","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
